f1,f2,m1,m2,o1,o2,o3,o4
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,2,0,2,0,0
0,0,2,2,0,2,0,0
0,0,2,0,2,2,0,2
0,2,2,2,0,2,0,2
0,2,2,2,2,0,0,2
0,0,0,2,0,2,0,0
0,0,2,2,2,0,0,0
0,0,0,0,0,0,0,0
0,0,0,2,0,0,0,2
0,0,0,2,0,4,2,2
