object_1,object_2,object_3,object_4,object_5,object_6,object_7,object_8
5,2,1,0,2,1,3,1
8,7,2,3,10,4,7,4
12,11,4,7,12,4,9,8
11,13,9,6,12,5,9,6
19,20,9,7,20,10,16,10
21,25,13,16,25,10,19,10
