f1,f2,m1,m2,o1,o2,o3,o4
1,1,4,0,2,1,1,1
1,1,3,0,1,1,2,4
3,0,6,1,1,4,4,7
1,3,4,4,3,2,2,7
2,4,7,4,5,4,2,10
5,5,3,3,5,4,4,11
8,4,4,4,16,6,7,9
6,4,7,4,8,5,10,8
5,4,11,5,11,9,8,13
8,9,12,7,11,7,9,11
5,10,6,9,12,8,9,14
7,8,12,5,18,9,7,17
